               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.052749,            0.014675,            0.019335,             0.53303,                   0,           0.0037568,             0.89773,             0.06262,             0.01664,            0.058114,            0.012708,            0.020972,             0.43311,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.053492,             0.01453,            0.018876,             0.48986,                   0,           0.0038728,             0.92574,            0.072305,            0.020246,            0.058439,            0.012634,            0.020862,             0.43945,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.052098,            0.014419,            0.018247,             0.47534,                   0,             0.15529,            0.079493,            0.077595,            0.020953,            0.059752,              0.0124,             0.02049,             0.40796,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.052052,            0.014416,            0.018142,             0.45246,                   0,             0.83102,            0.028409,            0.076535,            0.021159,            0.057636,            0.012413,            0.020026,             0.37573,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.051269,             0.01427,            0.018133,             0.45097,                   0,            0.076294,             0.16307,            0.073527,            0.019322,            0.055849,            0.012441,             0.01994,             0.38379,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.050855,            0.014113,            0.017464,             0.41099,                   0,            0.044942,             0.26274,            0.070378,            0.021523,            0.055678,            0.012473,            0.019385,             0.37451,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.050299,            0.014029,            0.016962,             0.39596,                   0,            0.053281,             0.15041,            0.069009,            0.022492,            0.058683,             0.01213,            0.019055,             0.36523,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.049695,            0.014022,            0.016855,             0.39859,                   0,             0.85783,            0.039773,            0.090501,            0.027619,            0.056175,            0.012225,            0.019089,             0.35352,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.049666,            0.013835,            0.016658,             0.38878,                   0,             0.86521,            0.034091,            0.075863,            0.023039,            0.056448,            0.012197,            0.019073,             0.32837,                   0,             0.00814,             0.00814,             0.00814
                  64,            0.048637,            0.013762,            0.016301,             0.37293,                   0,             0.88175,            0.039773,             0.09196,            0.027604,            0.056984,            0.012062,            0.018823,             0.32153,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.049255,            0.013716,            0.016128,             0.35423,                   0,             0.61703,            0.028409,            0.081069,            0.024995,            0.054774,            0.012112,            0.017972,             0.31519,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.048588,            0.013511,            0.015784,             0.34472,                   0,             0.54878,            0.039773,            0.085027,            0.022641,            0.055467,            0.011972,            0.018057,             0.30981,                   0,             0.00805,             0.00805,             0.00805
                  67,            0.047332,            0.013573,            0.015682,             0.34253,                   0,             0.54428,            0.034091,            0.073537,            0.015062,            0.052813,            0.011967,            0.017712,             0.30103,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.046902,            0.013408,            0.015373,             0.31719,                   0,             0.65065,            0.035985,             0.10017,            0.030748,            0.060362,            0.011583,            0.017786,             0.29102,                   0,             0.00799,             0.00799,             0.00799
                  69,            0.047289,            0.013265,            0.015392,             0.30909,                   0,             0.67113,             0.10095,            0.093738,            0.025815,            0.056092,            0.011707,            0.017697,             0.29907,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.046209,            0.013179,            0.015128,             0.28921,                   0,             0.64444,            0.037354,            0.078031,            0.017851,            0.054277,            0.011743,            0.017712,             0.28198,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.045681,            0.013072,            0.014892,             0.27385,                   0,             0.67104,            0.032197,            0.081885,            0.019022,            0.055317,            0.011796,            0.017972,              0.3042,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.045846,            0.013117,             0.01547,             0.30373,                   0,             0.59788,            0.049242,             0.12169,            0.031873,            0.054559,             0.01159,            0.018121,             0.28467,                   0,             0.00787,             0.00787,             0.00787
                  73,            0.045603,             0.01302,            0.014973,              0.2737,                   0,             0.35721,            0.063896,             0.13365,            0.043201,            0.055775,            0.011561,            0.017465,             0.26514,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.045875,            0.012913,            0.015143,               0.271,                   0,             0.68281,            0.086886,             0.14482,            0.038847,            0.053862,            0.011709,            0.017361,             0.26074,                   0,             0.00781,             0.00781,             0.00781
                  75,             0.04525,            0.012862,            0.014809,             0.25888,                   0,             0.65666,            0.059885,             0.12668,            0.029059,            0.052975,            0.011612,            0.017517,             0.26245,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.045096,            0.012743,            0.014555,             0.24808,                   0,             0.65067,            0.056031,             0.11603,            0.033027,             0.05333,            0.011437,            0.016992,             0.24475,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.044446,            0.012626,            0.014478,             0.24155,                   0,             0.53681,            0.051136,              0.1025,            0.020749,            0.052292,            0.011609,             0.01748,             0.24902,                   0,             0.00772,             0.00772,             0.00772
