                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    167,                0.42225,                0.39919,                0.95752,                      1,              0.0004456
                    168,                0.46477,                0.43544,                0.94444,                      1,              0.0004423
                    169,                0.43375,                0.42628,                0.95425,                      1,               0.000439
                    170,                0.40613,                0.41274,                0.94444,                      1,              0.0004357
                    171,                0.41394,                0.42474,                0.93791,                      1,              0.0004324
                    172,                0.40258,                 0.4077,                0.96078,                      1,              0.0004291
                    173,                0.39206,                0.41395,                0.96732,                      1,              0.0004258
                    174,                0.41823,                0.39445,                0.95425,                      1,              0.0004225
                    175,                0.39803,                0.41916,                0.94771,                      1,              0.0004192
                    176,                0.41209,                0.43416,                0.95425,                      1,              0.0004159
                    177,                0.41242,                0.40382,                0.96405,                      1,              0.0004126
                    178,                0.40945,                0.42441,                0.94771,                      1,              0.0004093
                    179,                0.38696,                 0.3922,                0.95752,                      1,               0.000406
                    180,                0.40353,                0.44954,                0.94444,                      1,              0.0004027
                    181,                0.38784,                0.39836,                0.96405,                      1,              0.0003994
                    182,                 0.3954,                0.42441,                0.96078,                      1,              0.0003961
                    183,                0.40036,                0.41849,                0.95098,                      1,              0.0003928
                    184,                0.39371,                0.41944,                0.95098,                      1,              0.0003895
                    185,                0.41701,                0.39863,                0.96078,                      1,              0.0003862
                    186,                0.40667,                0.40755,                0.96078,                      1,              0.0003829
                    187,                0.41345,                 0.4551,                0.94444,                      1,              0.0003796
                    188,                0.40875,                0.42736,                0.95752,                      1,              0.0003763
                    189,                0.40598,                0.41282,                0.96405,                      1,               0.000373
                    190,                0.41449,                0.51013,                 0.9281,                      1,              0.0003697
                    191,                0.40467,                 0.4078,                0.96405,                      1,              0.0003664
                    192,                0.40459,                0.40445,                0.96405,                      1,              0.0003631
                    193,                0.41069,                 0.4115,                0.95752,                      1,              0.0003598
                    194,                0.38236,                0.40886,                0.96078,                      1,              0.0003565
                    195,                0.38413,                0.39001,                0.96732,                      1,              0.0003532
                    196,                0.39763,                0.35822,                0.97386,                      1,              0.0003499
                    197,                0.40716,                0.38183,                0.96732,                      1,              0.0003466
                    198,                0.40337,                0.38441,                0.97059,                      1,              0.0003433
                    199,                 0.3785,                0.36959,                0.97059,                      1,                0.00034
                    200,                0.38398,                0.37958,                0.96405,                      1,              0.0003367
                    201,                0.37678,                0.36466,                0.97059,                      1,              0.0003334
                    202,                0.41019,                0.37222,                0.97059,                      1,              0.0003301
                    203,                0.40378,                0.39134,                0.95752,                      1,              0.0003268
