                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    183,                0.32328,                0.36966,                0.96078,                      1,              0.0003928
                    184,                0.32236,                 0.3969,                0.95752,                      1,              0.0003895
                    185,                0.33109,                0.37995,                0.96078,                      1,              0.0003862
                    186,                0.32536,                0.37218,                0.95425,                      1,              0.0003829
                    187,                0.32856,                0.38153,                0.95752,                      1,              0.0003796
                    188,                0.32465,                0.44033,                0.95752,                      1,              0.0003763
                    189,                0.32385,                0.37921,                0.94771,                      1,               0.000373
                    190,                0.32229,                0.36313,                0.95425,                      1,              0.0003697
                    191,                0.32833,                 0.3704,                0.95425,                      1,              0.0003664
                    192,                0.32407,                0.39379,                0.95752,                      1,              0.0003631
                    193,                0.32427,                0.36805,                0.96078,                      1,              0.0003598
                    194,                0.32544,                0.41029,                0.96405,                      1,              0.0003565
                    195,                0.32228,                0.36853,                0.96405,                      1,              0.0003532
                    196,                0.32401,                0.35999,                0.95752,                      1,              0.0003499
                    197,                0.32875,                0.41124,                0.95752,                      1,              0.0003466
                    198,                0.31934,                0.37652,                0.95752,                      1,              0.0003433
                    199,                0.32639,                0.44368,                0.96078,                      1,                0.00034
                    200,                0.32321,                0.40204,                0.95425,                      1,              0.0003367
                    201,                0.32294,                0.40026,                0.95425,                      1,              0.0003334
                    202,                0.32353,                0.37215,                0.96078,                      1,              0.0003301
                    203,                0.32479,                0.36509,                0.96405,                      1,              0.0003268
                    204,                0.31927,                0.41153,                0.96405,                      1,              0.0003235
                    205,                  0.321,                0.39736,                0.96405,                      1,              0.0003202
                    206,                0.32003,                0.40129,                0.96405,                      1,              0.0003169
                    207,                0.32096,                 0.4308,                0.96078,                      1,              0.0003136
                    208,                0.32251,                0.38368,                0.96078,                      1,              0.0003103
                    209,                0.32655,                0.40349,                0.95752,                      1,               0.000307
                    210,                0.31744,                0.39243,                0.95098,                      1,              0.0003037
                    211,                0.31261,                0.39536,                0.95425,                      1,              0.0003004
                    212,                  0.314,                0.38082,                0.95425,                      1,              0.0002971
                    213,                0.31671,                0.40635,                0.96405,                      1,              0.0002938
                    214,                0.31674,                0.38159,                0.95752,                      1,              0.0002905
                    215,                0.31975,                 0.3644,                0.95752,                      1,              0.0002872
                    216,                0.32044,                0.42309,                0.96078,                      1,              0.0002839
                    217,                0.31786,                0.39558,                0.95752,                      1,              0.0002806
                    218,                0.32092,                0.39958,                0.95752,                      1,              0.0002773
                    219,                0.31555,                0.35507,                0.95752,                      1,               0.000274
                    220,                0.31338,                0.37332,                0.95425,                      1,              0.0002707
                    221,                0.31618,                0.37855,                0.95425,                      1,              0.0002674
                    222,                 0.3147,                0.37846,                0.95425,                      1,              0.0002641
                    223,                0.31379,                0.36584,                0.95752,                      1,              0.0002608
                    224,                0.30857,                0.39001,                0.95425,                      1,              0.0002575
                    225,                0.31105,                0.37341,                0.96078,                      1,              0.0002542
                    226,                0.32047,                 0.3709,                0.96405,                      1,              0.0002509
                    227,                0.31027,                0.35364,                0.96078,                      1,              0.0002476
                    228,                 0.3076,                 0.3569,                0.95425,                      1,              0.0002443
                    229,                0.31396,                0.36287,                0.95752,                      1,               0.000241
