               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.057048,            0.015362,            0.023846,             0.72121,                   0,           0.0048852,              0.9036,            0.027589,           0.0070662,            0.060493,            0.013139,             0.02381,             0.62158,                   0,             0.00859,             0.00859,             0.00859
                  49,            0.056034,              0.0153,            0.022707,             0.69633,                   0,            0.022539,             0.43229,            0.036221,           0.0098482,            0.061108,            0.012852,            0.022839,             0.59473,                   0,             0.00856,             0.00856,             0.00856
                  50,            0.055346,            0.015125,            0.021829,             0.66541,                   0,            0.016883,             0.56297,             0.02798,           0.0067241,            0.060377,            0.012899,            0.022656,             0.57129,                   0,             0.00853,             0.00853,             0.00853
                  51,            0.055156,            0.014898,            0.021516,             0.63748,                   0,            0.004595,             0.90114,            0.035879,           0.0091867,            0.059588,            0.012802,            0.021814,             0.55078,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.053586,             0.01482,            0.020493,             0.61885,                   0,           0.0043264,             0.91089,            0.043767,            0.010023,             0.05947,            0.012657,             0.02124,             0.53613,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.053702,            0.014696,            0.019823,             0.59461,                   0,             0.53726,             0.02017,             0.05572,            0.013372,            0.057375,             0.01266,            0.019916,             0.49854,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.053125,            0.014546,            0.019116,             0.55714,                   0,           0.0045978,             0.90644,            0.044702,            0.011199,            0.059364,            0.012378,            0.019434,             0.48633,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.052222,            0.014613,            0.018903,             0.56248,                   0,           0.0054797,             0.91184,            0.044756,            0.010736,            0.058109,            0.012404,              0.0189,               0.448,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.051871,            0.014403,             0.01838,             0.52982,                   0,           0.0048675,             0.90284,            0.048744,            0.011206,            0.058071,            0.012362,            0.018314,             0.44263,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.051341,            0.014285,            0.017865,             0.50036,                   0,           0.0040918,             0.92822,            0.038314,           0.0090203,             0.05878,            0.012115,            0.017645,             0.41577,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.050856,            0.014139,            0.017265,             0.47367,                   0,           0.0039332,             0.92377,            0.047041,            0.010641,            0.058677,            0.012006,            0.017819,             0.40503,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.050157,            0.014034,            0.017153,             0.46079,                   0,           0.0042768,             0.92027,            0.051318,            0.013068,            0.058471,            0.011949,            0.017523,             0.40186,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.049141,            0.014018,            0.016949,               0.451,                   0,           0.0038594,             0.95009,            0.044062,            0.010052,            0.056362,            0.012054,            0.017493,             0.38452,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.049017,            0.013809,            0.016387,                0.43,                   0,           0.0038131,             0.92509,            0.040962,           0.0095175,            0.055182,             0.01197,            0.017264,              0.3772,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.048979,            0.013782,            0.016244,             0.41931,                   0,           0.0041404,             0.90464,            0.042233,            0.010402,            0.054722,            0.011849,            0.016986,             0.36401,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.048412,            0.013765,            0.016012,             0.40955,                   0,             0.55919,            0.024716,            0.054858,            0.013442,            0.056985,            0.011662,            0.017093,             0.35742,                   0,             0.00814,             0.00814,             0.00814
                  64,            0.048055,            0.013656,            0.015678,             0.39467,                   0,            0.044708,            0.033144,            0.039049,            0.010013,            0.060707,            0.011424,            0.016446,              0.3457,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.047303,            0.013525,            0.015701,             0.38574,                   0,           0.0041147,              0.9286,            0.035939,           0.0085145,            0.057628,            0.011491,            0.016354,             0.34009,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.047181,            0.013434,            0.015634,              0.3715,                   0,           0.0047315,             0.88513,            0.049685,            0.010879,            0.055586,             0.01148,            0.016641,              0.3313,                   0,             0.00805,             0.00805,             0.00805
                  67,            0.046972,            0.013385,            0.015552,             0.35772,                   0,           0.0042546,              0.8928,             0.04674,            0.010584,            0.054149,            0.011587,            0.016528,             0.31787,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.046328,            0.013234,            0.015319,             0.36168,                   0,           0.0042658,             0.89905,            0.059029,            0.013869,            0.058117,            0.011214,            0.016077,             0.30713,                   0,             0.00799,             0.00799,             0.00799
                  69,            0.046523,            0.013314,            0.015343,             0.34061,                   0,             0.10892,             0.25814,            0.062232,            0.014565,            0.057084,            0.011372,            0.016104,             0.30396,                   0,             0.00796,             0.00796,             0.00796
                  70,             0.04586,            0.013239,            0.015123,             0.32957,                   0,             0.17427,             0.11429,            0.095208,            0.022042,            0.053361,            0.011313,            0.015991,             0.29712,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.045301,            0.013099,            0.015096,             0.32012,                   0,           0.0039449,             0.92775,             0.10847,            0.026405,            0.056296,            0.011214,             0.01579,             0.28931,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.046215,            0.012978,            0.014759,             0.30859,                   0,           0.0040421,             0.89403,            0.075399,            0.017309,            0.056203,            0.011261,            0.015759,             0.28052,                   0,             0.00787,             0.00787,             0.00787
                  73,            0.044114,            0.012913,            0.014832,             0.30317,                   0,            0.004298,             0.89034,            0.061946,            0.013708,            0.053363,            0.011201,            0.015448,             0.28564,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.045424,            0.012886,            0.014587,               0.292,                   0,              0.2972,            0.011303,             0.08366,            0.017698,            0.053115,            0.011219,            0.015512,             0.27954,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.043992,            0.012804,            0.014651,             0.30059,                   0,           0.0092644,             0.87964,            0.050981,            0.010963,            0.051582,            0.011337,            0.015817,              0.2666,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.044599,            0.012813,            0.014407,             0.27425,                   0,           0.0040872,              0.8929,            0.060718,            0.012424,            0.053146,            0.011227,            0.015952,             0.26465,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.042729,            0.012687,             0.01426,             0.25908,                   0,            0.058724,             0.20619,            0.059688,            0.013439,            0.054743,            0.011134,            0.016327,             0.25586,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.044059,            0.012717,            0.014613,             0.26436,                   0,             0.15272,            0.093655,             0.06179,            0.012993,            0.054335,            0.011008,            0.015625,             0.24231,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.043473,            0.012611,            0.014503,             0.24275,                   0,             0.28158,            0.026042,            0.054498,            0.011777,            0.051586,            0.011116,            0.015567,             0.22803,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.042724,             0.01258,            0.014264,             0.24317,                   0,             0.27228,            0.020833,             0.05113,            0.010817,            0.051169,            0.011047,            0.015778,             0.23547,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.042291,            0.012525,            0.014316,             0.23853,                   0,            0.069075,            0.036458,             0.10668,            0.026926,            0.052546,            0.010992,            0.016068,             0.22278,                   0,              0.0076,              0.0076,              0.0076
                  82,            0.042491,            0.012458,            0.014153,             0.24349,                   0,             0.20044,             0.19489,             0.11801,            0.031814,            0.052282,            0.010989,            0.015781,             0.22754,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.041862,            0.012242,            0.013946,             0.23116,                   0,             0.34346,            0.057292,             0.16134,             0.04412,            0.052881,            0.010973,            0.015683,             0.24451,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.042033,             0.01228,             0.01401,             0.21584,                   0,            0.076643,             0.37765,              0.1045,            0.026903,            0.052787,            0.011035,            0.015799,              0.2323,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.041233,            0.012345,            0.014155,             0.21383,                   0,           0.0038612,             0.88116,            0.083902,            0.020422,             0.05459,            0.010956,            0.015903,             0.22498,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.041393,             0.01226,            0.014052,             0.22922,                   0,             0.28098,            0.019193,            0.092487,            0.022631,            0.050603,            0.011014,             0.01564,             0.21484,                   0,             0.00745,             0.00745,             0.00745
